Cohort (Total births),Diagonal Line for Calendar Year,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1926,1940,3.8,12.7,29.2,55.6,77,96.6,147,197.9,197.3,200,195.3,197.7,192,181.5,171.7,158,142.7,130,112.7,100.6,87.8,76,62.3,51.2,42,31.7,21.6,14.6,9.3,5.6,3.1,1.4,0.5,0.1,NaN,NaN
1927,1941,4.1,13.3,29.7,49.2,72.3,117.8,180.5,189.8,198,197.5,206.3,202.8,194.2,184.9,171.4,159.7,144.2,127.2,112,99.4,86.9,72.5,60.3,50,38.7,28.3,19.7,13.2,8.4,5,2.4,1.1,0.4,NaN,NaN,NaN
1928,1942,4.1,13.4,26.1,46.4,84,150.6,175.4,190,195.4,210,211,205.1,198,185.8,172.9,161.1,141.5,127.1,110.8,98.3,82.4,69.7,58.6,45.8,34.6,25.6,17.8,12,7.8,4.4,2.1,1,NaN,NaN,NaN,NaN
1929,1943,4.2,12,25.2,51.8,111.6,149.6,176.6,187.9,209.9,216.6,216.6,212.3,200.9,190.1,177.7,159.6,143,126.8,111.7,95,80.7,68.8,54.2,41.8,32.1,23.7,16.8,11.4,6.7,4,2,NaN,NaN,NaN,NaN,NaN
1930,1944,3.8,11.8,26.6,70.3,113.8,150.2,173.6,202.6,216,221.5,225,216.3,206.3,194.7,175.6,161,142.3,126.4,107,92.8,79.2,63.1,49,38.3,29.3,22,15.8,9.8,5.9,3.4,NaN,NaN,NaN,NaN,NaN,NaN
1931,1945,3.9,12.2,37.2,74.5,115.5,148.4,189,208.9,223.2,233.3,231,225.4,213.7,194,177.6,160.7,142.4,121.8,104.7,90.9,72.5,57.1,45.2,35.3,27.3,21,13.7,8.7,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932,1946,3.8,16.3,40.2,75.3,113.7,160.7,192.4,215.2,234.2,239.6,241,231.6,212.2,195.9,177.3,159.7,136.3,118.7,101.6,83,65.1,52.1,41.8,32.9,25.9,18.4,12,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,1947,5.2,18.3,41.3,75,123.2,162.3,199.6,226.3,241.5,250.4,247.9,230.5,213.9,195.5,176.6,153,132.3,115.1,92.8,74,60,48.8,39.5,31.3,23,15.9,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1934,1948,5.8,18.8,41.4,80.2,122.6,168.6,208.3,232.5,252.6,257.7,246.8,232.4,213.7,194.1,169.9,148.7,128.8,105.1,83.1,68.1,55.5,46.7,37.7,28.6,20.4,14.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1935,1949,5.7,18.8,43.4,79,126.5,173.2,212,243.1,258.9,255.7,247.5,231.8,211.4,187.2,164.3,145,116.5,94,76.5,63.3,53.8,44.5,34.3,24.9,17.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
