date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1975:Q1;-7.40;-7.04;-7.22;-12.93;5.71;4.08;-0.10;;-0.10;0.31;0.49;-9.42;9.91;-1.96;0.21;-1.05;0.91;-17.30;-7.27;16.25;8.18
1975:Q2;3.17;3.79;3.48;-3.27;6.75;3.02;-0.17;;-0.17;0.32;4.86;0.66;4.21;-5.01;0.21;0.93;5.94;2.39;0.18;-1.46;5.76
1975:Q3;8.41;10.03;9.22;4.07;5.15;2.48;-0.23;;-0.23;0.32;5.82;7.43;-1.62;2.60;0.22;7.85;5.25;12.09;6.14;-4.24;-0.89
1975:Q4;6.75;5.04;5.90;5.73;0.16;2.54;-0.29;;-0.29;0.32;1.39;5.76;-4.37;0.31;0.22;1.64;1.33;9.16;4.81;-7.52;-3.49
1976:Q1;11.44;10.57;11.01;5.72;5.29;2.64;-0.36;;-0.36;0.32;6.52;6.10;0.43;-1.91;0.22;5.04;6.95;11.41;4.60;-6.38;2.35
1976:Q2;3.52;2.97;3.25;0.91;2.33;2.98;-0.26;;-0.26;0.32;1.84;-1.49;3.33;-0.74;0.22;1.27;2.01;-3.95;-0.79;5.22;2.80
1976:Q3;2.41;3.55;2.98;1.86;1.12;3.26;-0.17;;-0.17;0.32;0.78;1.09;-0.31;0.32;0.22;1.03;0.71;2.30;0.74;-1.27;-0.03
1976:Q4;3.39;1.26;2.32;0.88;1.44;3.37;-0.08;;-0.08;0.32;0.68;-3.28;3.96;0.29;0.23;0.91;0.62;-5.57;-2.61;6.48;3.23
1977:Q1;6.39;6.04;6.22;3.97;2.25;3.32;0.02;;0.02;0.33;2.45;-0.23;2.68;1.37;0.23;3.50;2.13;3.08;-1.23;0.42;3.36
1977:Q2;9.50;11.57;10.53;8.88;1.65;3.52;0.00;;0.00;0.33;3.41;6.07;-2.66;3.11;0.23;5.80;2.69;13.29;3.90;-7.49;-1.21
1977:Q3;8.38;8.54;8.46;3.12;5.33;3.70;-0.02;;-0.02;0.33;5.16;-1.95;7.11;0.11;0.23;5.24;5.13;-3.07;-1.62;8.31;6.75
1977:Q4;-0.39;2.54;1.07;4.06;-2.99;3.88;-0.04;;-0.04;0.33;-2.90;2.15;-5.05;-0.18;0.24;-3.03;-2.86;2.68;1.98;-5.71;-4.84
1978:Q1;0.47;1.94;1.21;2.05;-0.84;3.87;-0.06;;-0.06;0.33;-1.39;-5.04;3.65;1.91;0.23;0.07;-1.84;-11.96;-2.92;12.03;1.07
1978:Q2;19.00;14.76;16.88;11.20;5.68;4.01;0.01;;0.01;0.33;8.03;8.20;-0.17;3.55;0.24;10.73;7.18;13.07;6.67;-2.34;0.51
1978:Q3;4.38;3.00;3.69;3.25;0.44;4.74;0.08;;0.08;0.32;-0.10;-0.32;0.22;1.64;0.24;1.15;-0.48;-1.07;-0.09;2.22;-0.40
1978:Q4;5.86;3.95;4.91;4.32;0.58;5.03;0.15;;0.15;0.32;0.26;1.03;-0.77;2.81;0.24;2.40;-0.40;2.69;0.52;-0.28;-0.93
1979:Q1;0.50;3.61;2.06;2.79;-0.73;5.39;0.21;;0.21;0.32;-1.71;-0.63;-1.08;0.57;0.24;-1.27;-1.84;-0.87;-0.55;-0.40;-1.29
1979:Q2;0.48;-2.62;-1.07;0.85;-1.92;5.52;0.22;1.12;1.12;0.31;-4.15;-9.25;5.10;4.07;0.23;-1.03;-5.10;-25.23;-4.41;24.19;-0.69
1979:Q3;3.52;0.38;1.95;3.62;-1.67;5.39;0.22;-0.90;-0.90;0.31;-1.60;3.86;-5.46;2.57;0.23;0.37;-2.20;7.13;2.86;-6.76;-5.06
1979:Q4;0.58;1.28;0.93;1.42;-0.49;5.45;0.22;-0.23;-0.23;0.31;-1.57;-0.93;-0.63;-0.03;0.23;-1.59;-1.56;-2.99;-0.32;1.41;-1.24
1980:Q1;0.71;-1.36;-0.32;-1.95;1.63;5.32;0.22;0.04;0.04;0.30;-0.61;-8.97;8.36;-2.13;0.23;-2.25;-0.12;-7.35;-9.46;5.10;9.33
1980:Q2;-11.40;-9.15;-10.27;-7.15;-3.12;5.14;0.31;1.02;1.02;0.30;-7.57;-5.08;-2.49;-0.83;0.22;-8.21;-7.38;-18.21;-1.41;10.00;-5.97
1980:Q3;-0.99;3.49;1.25;-1.52;2.78;4.35;0.39;0.93;0.93;0.30;0.34;2.31;-1.97;1.41;0.22;1.43;0.03;6.30;1.17;-4.86;-1.14
1980:Q4;9.40;11.75;10.58;5.49;5.09;4.06;0.48;0.55;0.55;0.31;5.15;9.04;-3.89;4.67;0.22;8.79;4.12;21.21;5.58;-12.42;-1.47
1981:Q1;9.73;3.46;6.60;2.21;4.38;4.10;0.56;-0.12;-0.12;0.32;3.87;-0.91;4.79;5.14;0.22;7.88;2.74;-5.70;0.44;13.58;2.30
1981:Q2;-4.11;-0.09;-2.10;-0.50;-1.60;4.62;0.55;0.09;0.09;0.32;-3.30;0.73;-4.03;-0.59;0.22;-3.76;-3.17;3.78;-0.13;-7.54;-3.04
1981:Q3;5.55;6.75;6.15;-0.02;6.17;4.48;0.53;0.22;0.22;0.32;4.57;-4.03;8.61;2.66;0.22;6.64;3.98;-4.82;-3.81;11.47;7.79
1981:Q4;-6.41;-6.12;-6.27;-1.57;-4.70;4.86;0.51;0.86;0.86;0.32;-7.35;-5.53;-1.82;0.76;0.22;-6.75;-7.51;-8.82;-4.62;2.07;-2.89
1982:Q1;-8.60;-4.60;-6.60;-6.98;0.38;4.97;0.50;1.85;1.85;0.32;-4.70;-6.77;2.07;2.01;0.22;-3.13;-5.15;-15.40;-4.31;12.27;-0.84
1982:Q2;1.81;1.33;1.57;1.31;0.26;4.31;0.50;1.03;1.03;0.32;-1.39;1.55;-2.94;1.33;0.22;-0.35;-1.68;8.33;-0.33;-8.68;-1.35
1982:Q3;-2.54;-2.58;-2.56;-2.62;0.06;3.47;0.50;1.07;1.07;0.32;-2.61;0.04;-2.65;3.87;0.22;0.42;-3.45;-2.98;0.87;3.40;-4.32
1982:Q4;-0.33;-2.83;-1.58;-3.80;2.22;2.80;0.51;-0.04;-0.04;0.32;0.13;-0.64;0.77;2.39;0.22;2.00;-0.39;-0.66;-0.64;2.66;0.25
1983:Q1;5.90;4.66;5.28;2.25;3.02;1.87;0.51;1.46;1.46;0.32;2.16;3.71;-1.55;1.86;0.21;3.63;1.76;11.17;1.67;-7.55;0.10
1983:Q2;11.07;8.06;9.56;4.23;5.33;2.30;0.45;0.36;0.36;0.33;5.72;7.04;-1.32;2.37;0.22;7.57;5.20;12.39;5.53;-4.82;-0.33
1983:Q3;9.70;6.57;8.14;8.11;0.03;3.15;0.39;0.27;0.27;0.33;1.48;6.23;-4.75;4.06;0.22;4.64;0.58;12.48;4.44;-7.84;-3.86
1983:Q4;9.99;11.27;10.63;6.38;4.25;4.10;0.32;0.29;0.29;0.33;4.82;4.21;0.61;1.34;0.23;5.85;4.51;7.19;3.31;-1.34;1.20
1984:Q1;9.85;13.78;11.82;7.73;4.08;5.24;0.26;-0.59;-0.59;0.33;5.31;2.06;3.25;3.62;0.23;8.10;4.47;3.13;1.74;4.97;2.74
1984:Q2;8.53;8.05;8.29;4.98;3.31;5.31;0.25;-0.43;-0.43;0.34;3.48;0.01;3.47;1.83;0.23;4.89;3.06;-2.94;0.90;7.83;2.16
1984:Q3;3.94;4.39;4.16;1.79;2.38;5.27;0.23;1.15;1.15;0.34;0.44;-1.21;1.66;2.98;0.23;2.73;-0.25;-4.00;-0.37;6.74;0.12
1984:Q4;3.13;4.54;3.83;2.20;1.64;5.14;0.22;1.35;1.35;0.34;-0.25;-1.85;1.59;2.39;0.24;1.57;-0.82;-1.67;-1.90;3.25;1.08
1985:Q1;4.71;4.13;4.42;2.98;1.44;4.75;0.20;-1.59;-1.59;0.34;1.90;-2.76;4.66;4.05;0.23;5.00;0.95;-6.72;-1.54;11.72;2.49
1985:Q2;3.85;2.99;3.42;2.17;1.25;4.41;0.25;2.33;2.33;0.33;-1.06;0.42;-1.47;1.24;0.24;-0.11;-1.35;1.89;-0.04;-2.00;-1.31
1985:Q3;6.92;5.30;6.11;0.55;5.56;4.49;0.29;0.18;0.18;0.33;4.14;1.20;2.94;2.30;0.24;5.89;3.59;2.09;0.92;3.80;2.67
1985:Q4;2.91;1.96;2.44;1.63;0.81;4.14;0.33;0.18;0.18;0.33;-0.13;1.23;-1.36;0.22;0.23;0.04;-0.18;3.68;0.49;-3.63;-0.67
1986:Q1;3.92;4.19;4.06;0.07;3.98;4.44;0.38;-0.18;-0.18;0.32;2.71;-1.10;3.81;1.29;0.23;3.70;2.40;-2.76;-0.60;6.46;3.00
1986:Q2;1.56;0.65;1.10;-1.04;2.14;4.19;0.36;0.50;0.50;0.32;0.15;-3.22;3.37;-2.32;0.24;-1.62;0.70;-7.11;-2.00;5.49;2.70
1986:Q3;4.23;2.51;3.37;2.15;1.22;3.75;0.34;0.27;0.27;0.31;0.54;0.18;0.36;-2.53;0.25;-1.37;1.16;2.05;-0.43;-3.41;1.59
1986:Q4;1.96;3.25;2.61;2.92;-0.31;3.17;0.32;1.00;1.00;0.31;-1.08;-0.07;-1.00;-0.33;0.25;-1.33;-0.99;-0.71;0.13;-0.62;-1.13
1987:Q1;3.11;4.60;3.86;4.76;-0.91;3.00;0.30;1.12;1.12;0.31;-1.12;3.24;-4.35;-0.14;0.23;-1.22;-1.08;6.18;2.34;-7.41;-3.42
1987:Q2;4.80;7.46;6.13;2.40;3.73;3.12;0.36;-1.58;-1.58;0.32;4.58;0.19;4.39;1.37;0.24;5.62;4.25;-2.88;1.15;8.50;3.11
1987:Q3;3.00;6.01;4.50;2.48;2.03;3.43;0.43;0.49;0.49;0.32;1.39;-0.01;1.40;2.50;0.24;3.28;0.79;-1.50;0.46;4.79;0.32
1987:Q4;7.59;5.64;6.62;4.11;2.50;3.79;0.49;1.17;1.17;0.32;1.80;1.12;0.68;-1.45;0.23;0.69;2.14;3.59;0.37;-2.90;1.77
1988:Q1;1.50;4.99;3.24;0.29;2.95;4.04;0.55;0.06;0.06;0.32;1.72;-4.11;5.83;3.09;0.24;4.06;0.98;-3.58;-4.28;7.64;5.26
1988:Q2;6.00;5.16;5.58;5.45;0.13;3.91;0.50;0.70;0.70;0.32;0.14;-1.03;1.18;2.11;0.24;1.75;-0.36;1.65;-1.87;0.10;1.51
1988:Q3;2.05;3.71;2.88;0.70;2.18;4.14;0.46;-0.13;-0.13;0.32;1.17;-0.47;1.64;4.32;0.24;4.48;0.16;-1.34;-0.20;5.82;0.36
