"Table 1. Central birth rates, by live-birth order, current age, and race of women in each cohort from 1911 through 1991: United States, 1960-2005",,,,,,,,,,,
,,,,,,,,,,,
"[A cohort is identified by the year in which the women were born. Because these women retain this designation throughout their childbearing years, their fertility can be followed over time. Live-birth order refers to number of children born alive to mother. Central birth rates are per 1,000 women in specified single year of age cohort group and are based on births adjusted for underregistration (1960-1979 only) and numbers of women adjusted for misstatements of age in the censuses (1960-2005). For method of computation, see Technical Appendix to the Cohort Fertility Tables]",,,,,,,,,,,
,,,,,,,,,,,
Characteristics,,,                                  Live-birth order                          ,,,,,,,,
Race of women and calendar year,Current age of women,Cohort birth year,Total,1,2,3,4,5,6,7,8 and higher
2000,24,1976,114.0,43.6,40.6,20.3,6.7,2.0,0.6,0.1,0.1
2001,25,1976,113.6,41.9,39.7,21.1,7.6,2.3,0.7,0.2,0.1
2002,26,1976,114.0,41.5,39.0,21.4,8.1,2.7,0.9,0.3,0.1
2003,27,1976,116.4,42.5,39.0,21.7,8.6,3.0,1.0,0.4,0.2
2004,28,1976,117.1,41.5,39.2,22.2,9.1,3.2,1.2,0.5,0.2
2005,29,1976,116.0,39.1,39.4,22.5,9.4,3.5,1.3,0.5,0.3
2006,30,1976,113.8,36.2,39.1,22.6,9.8,3.6,1.5,0.6,0.4
2007,31,1976,109.3,32.6,38.0,22.2,9.9,3.8,1.6,0.7,0.5
2008,32,1976,100.2,28.1,34.8,21.0,9.6,3.8,1.6,0.7,0.6
2009,33,1976,89.7,23.4,31.3,19.3,9.0,3.6,1.6,0.8,0.7
1991,14,1977,7.8,7.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992,15,1977,20.3,18.3,1.8,0.2,0.0,NaN,NaN,NaN,NaN
1993,16,1977,37.5,32.2,4.7,0.6,0.0,NaN,NaN,NaN,NaN
1994,17,1977,58.6,47.6,9.4,1.4,0.2,NaN,NaN,NaN,NaN
1995,18,1977,77.1,58.3,15.5,2.9,0.4,NaN,NaN,NaN,NaN
1996,19,1977,90.1,60.7,23.0,5.4,1.0,NaN,NaN,NaN,NaN
1997,20,1977,99.1,57.9,29.8,8.8,2.0,0.4,0.1,0.1,0.0
1998,21,1977,107.0,53.3,36.2,12.7,3.3,0.8,0.2,0.3,0.2
1999,22,1977,109.5,48.4,39.1,16.0,4.7,1.1,0.2,0.0,0.0
2000,23,1977,113.4,45.8,40.7,18.9,5.9,1.6,0.4,0.1,0.0
2001,24,1977,112.3,42.7,40.0,20.1,6.8,2.0,0.6,0.1,0.0
2002,25,1977,112.7,41.7,39.2,20.9,7.6,2.3,0.7,0.2,0.1
2003,26,1977,115.1,42.5,38.9,21.5,8.2,2.7,0.9,0.3,0.1
2004,27,1977,116.8,42.2,39.0,22.1,8.9,3.0,1.0,0.4,0.2
2005,28,1977,117.6,41.1,39.4,22.6,9.3,3.4,1.2,0.4,0.2
2006,29,1977,117.7,39.4,39.7,23.0,9.8,3.6,1.4,0.5,0.3
2007,30,1977,115.9,36.9,39.6,23.0,10.1,3.8,1.5,0.6,0.4
2008,31,1977,108.5,32.6,37.3,22.0,9.9,3.9,1.6,0.7,0.5
2009,32,1977,98.9,27.8,34.4,20.5,9.4,3.8,1.6,0.8,0.6
1992,14,1978,7.6,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,15,1978,20.2,18.5,1.6,0.1,0.0,NaN,NaN,NaN,NaN
1994,16,1978,37.2,32.4,4.3,0.4,0.1,NaN,NaN,NaN,NaN
1995,17,1978,56.4,46.4,8.7,1.2,0.1,NaN,NaN,NaN,NaN
1996,18,1978,74.2,55.7,15.3,2.8,0.4,NaN,NaN,NaN,NaN
1997,19,1978,87.8,59.0,22.6,5.3,0.9,NaN,NaN,NaN,NaN
1998,20,1978,100.0,57.9,30.3,8.9,1.9,0.4,0.1,0.3,0.2
1999,21,1978,105.7,53.2,35.6,12.7,3.3,0.7,0.1,0.1,0.0
2000,22,1978,111.3,49.4,39.5,16.4,4.7,1.1,0.2,0.0,0.0
2001,23,1978,110.8,44.6,40.0,18.4,5.8,1.5,0.4,0.1,0.0
2002,24,1978,110.7,42.3,39.3,19.8,6.8,1.9,0.5,0.1,0.0
2003,25,1978,112.8,42.2,38.9,20.9,7.5,2.3,0.7,0.2,0.1
2004,26,1978,114.5,42.0,38.7,21.6,8.3,2.7,0.8,0.3,0.1
2005,27,1978,116.8,41.8,39.0,22.3,8.9,3.1,1.1,0.4,0.2
2006,28,1978,118.8,41.3,39.7,23.0,9.6,3.4,1.2,0.4,0.2
2007,29,1978,119.0,40.0,39.8,23.3,10.0,3.7,1.4,0.5,0.3
2008,30,1978,113.9,36.5,38.5,22.6,10.0,3.8,1.5,0.6,0.4
2009,31,1978,105.9,32.2,36.3,21.2,9.6,3.8,1.6,0.7,0.5
1993,14,1979,7.7,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994,15,1979,20.0,18.4,1.5,0.1,0.0,NaN,NaN,NaN,NaN
1995,16,1979,35.7,31.3,4.0,0.4,0.0,NaN,NaN,NaN,NaN
1996,17,1979,53.4,43.8,8.4,1.1,0.1,NaN,NaN,NaN,NaN
1997,18,1979,71.6,53.7,14.8,2.7,0.4,NaN,NaN,NaN,NaN
1998,19,1979,87.3,58.5,22.6,5.3,0.9,NaN,NaN,NaN,NaN
1999,20,1979,98.5,57.7,29.6,8.7,1.9,0.4,0.1,0.1,0.0
2000,21,1979,107.2,54.2,35.9,12.8,3.3,0.7,0.2,0.0,0.1
2001,22,1979,107.3,47.6,38.2,15.7,4.5,1.1,0.2,0.0,0.0
2002,23,1979,107.9,43.8,38.6,17.8,5.7,1.5,0.4,0.1,0.0
2003,24,1979,109.2,42.2,38.4,19.5,6.6,1.9,0.5,0.1,0.0
2004,25,1979,111.2,41.4,38.3,20.7,7.5,2.3,0.7,0.2,0.1
2005,26,1979,114.0,41.6,38.5,21.5,8.3,2.8,0.9,0.3,0.1
2006,27,1979,117.5,41.9,39.1,22.6,9.2,3.1,1.1,0.3,0.2
2007,28,1979,119.2,41.6,39.3,23.1,9.7,3.5,1.3,0.5,0.2
2008,29,1979,115.9,39.2,38.5,22.5,9.8,3.7,1.4,0.5,0.3
2009,30,1979,110.0,35.8,37.1,21.3,9.6,3.7,1.5,0.6,0.4
1994,14,1980,7.6,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1995,15,1980,19.1,17.6,1.4,0.1,0.0,NaN,NaN,NaN,NaN
1996,16,1980,33.3,29.3,3.7,0.3,0.0,NaN,NaN,NaN,NaN
1997,17,1980,51.2,42.0,8.0,1.1,0.1,NaN,NaN,NaN,NaN
1998,18,1980,69.9,52.6,14.4,2.6,0.3,NaN,NaN,NaN,NaN
1999,19,1980,85.8,58.0,21.8,5.1,0.9,NaN,NaN,NaN,NaN
2000,20,1980,99.4,58.5,29.7,8.7,1.9,0.4,0.1,0.0,0.1
2001,21,1980,102.9,52.2,34.5,12.2,3.0,0.7,0.2,0.1,0.0
2002,22,1980,104.3,46.9,36.8,15.1,4.3,1.0,0.2,0.0,0.0
2003,23,1980,106.1,43.6,37.9,17.4,5.4,1.4,0.3,0.1,0.0
2004,24,1980,107.5,41.5,37.9,19.2,6.5,1.8,0.5,0.1,0.0
2005,25,1980,110.6,41.3,38.1,20.5,7.4,2.3,0.7,0.2,0.1
2006,26,1980,115.4,42.2,38.7,21.9,8.5,2.8,0.9,0.3,0.1
2007,27,1980,117.7,42.1,38.8,22.7,9.2,3.2,1.1,0.4,0.2
2008,28,1980,116.0,40.8,38.2,22.2,9.4,3.4,1.3,0.5,0.2
2009,29,1980,111.5,38.3,37.0,21.2,9.3,3.5,1.4,0.5,0.3
1995,14,1981,7.3,7.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1996,15,1981,17.6,16.3,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1997,16,1981,31.4,27.7,3.4,0.3,0.0,NaN,NaN,NaN,NaN
1998,17,1981,49.0,40.4,7.5,1.0,0.1,NaN,NaN,NaN,NaN
1999,18,1981,67.9,51.5,13.7,2.4,0.3,NaN,NaN,NaN,NaN
2000,19,1981,85.7,58.2,21.7,4.9,0.9,NaN,NaN,NaN,NaN
2001,20,1981,95.9,57.0,28.4,8.2,1.7,0.3,0.2,0.1,0.0
2002,21,1981,100.5,51.8,33.4,11.6,2.9,0.6,0.1,0.0,0.1
2003,22,1981,102.9,46.8,36.3,14.6,4.1,0.9,0.2,0.0,0.0
2004,23,1981,105.2,43.4,37.5,17.2,5.3,1.4,0.3,0.1,0.0
2005,24,1981,108.0,42.0,38.0,19.2,6.4,1.8,0.5,0.1,0.0
2006,25,1981,113.3,42.7,38.7,21.0,7.6,2.3,0.7,0.2,0.1
2007,26,1981,116.1,42.8,38.7,22.0,8.5,2.8,0.9,0.3,0.1
2008,27,1981,115.5,41.9,38.0,21.8,9.0,3.1,1.1,0.4,0.2
2009,28,1981,111.9,40.0,36.8,21.0,9.0,3.3,1.2,0.4,0.2
1996,14,1982,6.7,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997,15,1982,16.3,15.1,1.1,0.1,0.0,NaN,NaN,NaN,NaN
1998,16,1982,29.8,26.4,3.1,0.3,0.0,NaN,NaN,NaN,NaN
1999,17,1982,46.8,38.9,6.9,0.9,0.1,NaN,NaN,NaN,NaN
2000,18,1982,66.8,50.8,13.4,2.3,0.3,NaN,NaN,NaN,NaN
2001,19,1982,82.8,56.6,20.7,4.7,0.8,NaN,NaN,NaN,NaN
2002,20,1982,93.7,56.3,27.5,7.8,1.6,0.3,0.1,0.0,0.1
2003,21,1982,99.8,52.0,32.9,11.2,2.8,0.6,0.1,0.1,0.1
2004,22,1982,102.5,46.9,35.9,14.5,4.1,0.9,0.2,0.0,0.0
2005,23,1982,106.3,44.4,37.7,17.2,5.3,1.3,0.3,0.1,0.0
2006,24,1982,111.7,44.2,38.9,19.5,6.5,1.9,0.5,0.1,0.1
2007,25,1982,114.8,43.7,39.1,21.0,7.7,2.3,0.7,0.2,0.1
2008,26,1982,114.2,42.7,38.0,21.2,8.3,2.7,0.9,0.3,0.1
2009,27,1982,111.5,41.2,36.6,20.7,8.5,3.0,1.0,0.3,0.2
1997,14,1983,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998,15,1983,15.2,14.2,1.0,0.0,0.0,NaN,NaN,NaN,NaN
1999,16,1983,27.8,24.8,2.8,0.2,0.0,NaN,NaN,NaN,NaN
2000,17,1983,45.5,37.8,6.8,0.8,0.1,NaN,NaN,NaN,NaN
2001,18,1983,64.1,48.9,12.7,2.2,0.3,NaN,NaN,NaN,NaN
2002,19,1983,80.1,55.1,19.9,4.4,0.7,NaN,NaN,NaN,NaN
2003,20,1983,92.7,56.1,26.9,7.5,1.6,0.3,0.1,0.1,0.1
2004,21,1983,99.3,52.1,32.5,11.1,2.7,0.6,0.1,0.1,0.1
2005,22,1983,103.5,48.0,36.0,14.4,4.0,0.9,0.2,0.0,0.0
2006,23,1983,110.1,46.8,38.7,17.5,5.3,1.4,0.3,0.1,0.0
2007,24,1983,113.0,45.3,39.2,19.5,6.6,1.8,0.5,0.1,0.0
2008,25,1983,112.7,43.5,38.2,20.2,7.5,2.3,0.7,0.2,0.1
2009,26,1983,109.6,41.6,36.4,20.0,7.8,2.6,0.8,0.3,0.1
1998,14,1984,5.7,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999,15,1984,14.2,13.3,0.9,0.0,0.0,NaN,NaN,NaN,NaN
2000,16,1984,26.7,23.8,2.7,0.2,0.0,NaN,NaN,NaN,NaN
2001,17,1984,42.6,35.4,6.3,0.8,0.1,NaN,NaN,NaN,NaN
2002,18,1984,61.3,47.1,12.0,2.0,0.2,NaN,NaN,NaN,NaN
2003,19,1984,78.7,54.7,19.1,4.2,0.7,NaN,NaN,NaN,NaN
2004,20,1984,91.8,56.0,26.4,7.3,1.5,0.3,0.1,0.1,0.1
2005,21,1984,99.2,52.8,32.2,10.8,2.6,0.6,0.1,0.0,0.1
2006,22,1984,106.7,50.2,36.9,14.5,4.0,0.9,0.2,0.0,0.0
2007,23,1984,110.3,47.4,38.6,17.3,5.3,1.3,0.3,0.1,0.0
2008,24,1984,110.0,44.5,38.0,18.7,6.4,1.8,0.5,0.1,0.0
2009,25,1984,106.3,41.6,35.9,18.9,6.9,2.1,0.6,0.2,0.1
1999,14,1985,5.3,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,15,1985,13.4,12.6,0.8,0.0,0.0,NaN,NaN,NaN,NaN
2001,16,1985,24.6,21.9,2.5,0.2,0.0,NaN,NaN,NaN,NaN
2002,17,1985,40.1,33.6,5.8,0.7,0.0,NaN,NaN,NaN,NaN
2003,18,1985,59.6,46.2,11.3,1.9,0.2,NaN,NaN,NaN,NaN
2004,19,1985,77.5,54.2,18.7,4.0,0.6,NaN,NaN,NaN,NaN
2005,20,1985,91.5,56.5,26.0,7.1,1.4,0.3,0.1,0.0,0.1
2006,21,1985,102.6,55.1,33.0,11.0,2.6,0.6,0.1,0.1,0.1
2007,22,1985,106.8,50.7,36.7,14.4,3.9,0.9,0.2,0.0,0.0
2008,23,1985,107.0,46.4,37.3,16.5,5.1,1.3,0.3,0.1,0.0
2009,24,1985,102.5,42.0,35.3,17.2,5.9,1.6,0.4,0.1,0.0
2000,14,1986,4.9,4.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001,15,1986,12.4,11.6,0.8,0.0,0.0,NaN,NaN,NaN,NaN
2002,16,1986,23.3,20.8,2.3,0.2,0.0,NaN,NaN,NaN,NaN
2003,17,1986,39.1,32.9,5.5,0.7,0.0,NaN,NaN,NaN,NaN
2004,18,1986,58.7,45.6,11.1,1.8,0.2,NaN,NaN,NaN,NaN
2005,19,1986,77.3,54.5,18.3,3.9,0.6,NaN,NaN,NaN,NaN
2006,20,1986,95.0,59.1,26.7,7.2,1.4,0.3,0.1,0.1,0.1
2007,21,1986,102.6,55.5,32.9,10.9,2.6,0.5,0.1,0.1,0.0
2008,22,1986,103.3,49.3,35.3,13.8,3.8,0.9,0.2,0.0,0.0
2009,23,1986,99.8,43.6,34.6,15.2,4.8,1.2,0.3,0.1,0.0
2001,14,1987,4.5,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,15,1987,11.6,10.9,0.7,0.0,0.0,NaN,NaN,NaN,NaN
2003,16,1987,22.4,20.1,2.1,0.2,0.0,NaN,NaN,NaN,NaN
2004,17,1987,38.3,32.4,5.3,0.6,0.0,NaN,NaN,NaN,NaN
2005,18,1987,58.6,45.7,10.9,1.8,0.2,NaN,NaN,NaN,NaN
2006,19,1987,80.8,57.2,19.0,4.0,0.6,NaN,NaN,NaN,NaN
2007,20,1987,95.9,59.9,26.9,7.2,1.4,0.3,0.1,0.1,0.0
2008,21,1987,99.5,54.1,31.8,10.5,2.5,0.5,0.1,0.0,0.0
2009,22,1987,96.7,46.5,32.9,12.7,3.6,0.8,0.2,0.0,0.0
2002,14,1988,4.2,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,15,1988,10.9,10.3,0.6,0.0,0.0,NaN,NaN,NaN,NaN
2004,16,1988,22.1,19.8,2.1,0.2,0.0,NaN,NaN,NaN,NaN
2005,17,1988,37.8,32.1,5.1,0.6,0.0,NaN,NaN,NaN,NaN
2006,18,1988,60.9,47.6,11.3,1.8,0.2,NaN,NaN,NaN,NaN
2007,19,1988,81.6,57.9,19.1,4.0,0.6,NaN,NaN,NaN,NaN
2008,20,1988,92.5,58.0,25.9,6.9,1.4,0.3,0.0,0.0,0.0
2009,21,1988,93.4,51.1,29.7,9.6,2.3,0.5,0.1,0.1,0.0
2003,14,1989,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,15,1989,10.8,10.2,0.6,0.0,0.0,NaN,NaN,NaN,NaN
2005,16,1989,21.5,19.4,1.9,0.2,0.0,NaN,NaN,NaN,NaN
2006,17,1989,39.1,33.1,5.4,0.6,0.0,NaN,NaN,NaN,NaN
2007,18,1989,61.4,48.1,11.4,1.7,0.2,NaN,NaN,NaN,NaN
2008,19,1989,78.9,56.1,18.4,3.8,0.6,NaN,NaN,NaN,NaN
2009,20,1989,86.7,54.8,24.0,6.3,1.3,0.2,0.0,0.1,0.0
2004,14,1990,3.9,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,15,1990,10.4,9.9,0.5,0.0,0.0,NaN,NaN,NaN,NaN
2006,16,1990,22.0,19.8,2.0,0.2,0.0,NaN,NaN,NaN,NaN
2007,17,1990,39.3,33.3,5.4,0.6,0.0,NaN,NaN,NaN,NaN
2008,18,1990,59.4,46.7,10.8,1.7,0.2,NaN,NaN,NaN,NaN
2009,19,1990,73.7,52.9,16.9,3.4,0.5,NaN,NaN,NaN,NaN
2005,14,1991,3.8,3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,15,1991,10.6,10.0,0.6,0.0,0.0,NaN,NaN,NaN,NaN
2007,16,1991,22.0,19.8,2.1,0.1,0.0,NaN,NaN,NaN,NaN
2008,17,1991,38.2,32.5,5.1,0.6,0.0,NaN,NaN,NaN,NaN
2009,18,1991,55.4,43.9,9.8,1.5,0.2,NaN,NaN,NaN,NaN
2006,14,1992,3.8,3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,15,1992,10.7,10.1,0.6,0.0,0.0,NaN,NaN,NaN,NaN
2008,16,1992,21.5,19.4,1.9,0.2,0.0,NaN,NaN,NaN,NaN
2009,17,1992,35.5,30.4,4.6,0.5,0.0,NaN,NaN,NaN,NaN
2007,14,1993,3.8,3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008,15,1993,10.3,9.8,0.5,0.0,0.0,NaN,NaN,NaN,NaN
2009,16,1993,19.8,18.0,1.7,0.1,0.0,NaN,NaN,NaN,NaN
2008,14,1994,3.6,3.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,15,1994,9.5,9.0,0.5,0.0,0.0,NaN,NaN,NaN,NaN
2009,14,1995,3.3,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
